dataset,feature,length,model_size,auc
Wikipedia (en),Loss,0,1b,0.5272735
Wikipedia (en),Loss,100,1b,0.5123654999999999
Wikipedia (en),Loss,200,1b,0.522149
Wikipedia (en),Loss,300,1b,0.5188455
Wikipedia (en),Loss,400,1b,0.517228
Wikipedia (en),Loss,500,1b,0.505093
Wikipedia (en),Loss,600,1b,0.5033035
Wikipedia (en),Loss,700,1b,0.5077020000000001
Wikipedia (en),Loss,800,1b,0.5275285
Wikipedia (en),Loss,900,1b,0.513138
Wikipedia (en),Loss,0,2.8b,0.514297
Wikipedia (en),Loss,100,2.8b,0.520279
Wikipedia (en),Loss,200,2.8b,0.5271755
Wikipedia (en),Loss,300,2.8b,0.532432
Wikipedia (en),Loss,400,2.8b,0.533649
Wikipedia (en),Loss,500,2.8b,0.5066569999999999
Wikipedia (en),Loss,600,2.8b,0.5197239999999999
Wikipedia (en),Loss,700,2.8b,0.522041
Wikipedia (en),Loss,800,2.8b,0.5425135
Wikipedia (en),Loss,900,2.8b,0.5305285000000001
Wikipedia (en),Loss,0,6.9b,0.5134005
Wikipedia (en),Loss,100,6.9b,0.5221045
Wikipedia (en),Loss,200,6.9b,0.5241169999999999
Wikipedia (en),Loss,300,6.9b,0.5317995
Wikipedia (en),Loss,400,6.9b,0.5332180000000001
Wikipedia (en),Loss,500,6.9b,0.5050749999999999
Wikipedia (en),Loss,600,6.9b,0.5148065
Wikipedia (en),Loss,700,6.9b,0.5180864999999999
Wikipedia (en),Loss,800,6.9b,0.538411
Wikipedia (en),Loss,900,6.9b,0.5270035
Wikipedia (en),Loss,0,12b,0.5104355
Wikipedia (en),Loss,100,12b,0.5281355000000001
Wikipedia (en),Loss,200,12b,0.528068
Wikipedia (en),Loss,300,12b,0.5378695
Wikipedia (en),Loss,400,12b,0.5366595000000001
Wikipedia (en),Loss,500,12b,0.508293
Wikipedia (en),Loss,600,12b,0.5201250000000001
Wikipedia (en),Loss,700,12b,0.5204915
Wikipedia (en),Loss,800,12b,0.5441119999999999
Wikipedia (en),Loss,900,12b,0.530965
Wikipedia (en),Min-K%,0,1b,0.527441
Wikipedia (en),Min-K%,100,1b,0.517774
Wikipedia (en),Min-K%,200,1b,0.523553
Wikipedia (en),Min-K%,300,1b,0.5210665000000001
Wikipedia (en),Min-K%,400,1b,0.5207999999999999
Wikipedia (en),Min-K%,500,1b,0.504935
Wikipedia (en),Min-K%,600,1b,0.510791
Wikipedia (en),Min-K%,700,1b,0.5085489999999999
Wikipedia (en),Min-K%,800,1b,0.5261939999999999
Wikipedia (en),Min-K%,900,1b,0.519741
Wikipedia (en),Min-K%,0,2.8b,0.5093235
Wikipedia (en),Min-K%,100,2.8b,0.5235405
Wikipedia (en),Min-K%,200,2.8b,0.531149
Wikipedia (en),Min-K%,300,2.8b,0.539581
Wikipedia (en),Min-K%,400,2.8b,0.538903
Wikipedia (en),Min-K%,500,2.8b,0.511852
Wikipedia (en),Min-K%,600,2.8b,0.5293945
Wikipedia (en),Min-K%,700,2.8b,0.5248155
Wikipedia (en),Min-K%,800,2.8b,0.54736
Wikipedia (en),Min-K%,900,2.8b,0.541292
Wikipedia (en),Min-K%,0,6.9b,0.5117829999999999
Wikipedia (en),Min-K%,100,6.9b,0.52519
Wikipedia (en),Min-K%,200,6.9b,0.529701
Wikipedia (en),Min-K%,300,6.9b,0.5373525
Wikipedia (en),Min-K%,400,6.9b,0.5385234999999999
Wikipedia (en),Min-K%,500,6.9b,0.5118
Wikipedia (en),Min-K%,600,6.9b,0.522145
Wikipedia (en),Min-K%,700,6.9b,0.5196065
Wikipedia (en),Min-K%,800,6.9b,0.5413149999999999
Wikipedia (en),Min-K%,900,6.9b,0.536204
Wikipedia (en),Min-K%,0,12b,0.505343
Wikipedia (en),Min-K%,100,12b,0.533196
Wikipedia (en),Min-K%,200,12b,0.533859
Wikipedia (en),Min-K%,300,12b,0.544953
Wikipedia (en),Min-K%,400,12b,0.542899
Wikipedia (en),Min-K%,500,12b,0.515923
Wikipedia (en),Min-K%,600,12b,0.52898
Wikipedia (en),Min-K%,700,12b,0.5245390000000001
Wikipedia (en),Min-K%,800,12b,0.549055
Wikipedia (en),Min-K%,900,12b,0.543661
Wikipedia (en),Perplexity,0,1b,0.5272735
Wikipedia (en),Perplexity,100,1b,0.5123654999999999
Wikipedia (en),Perplexity,200,1b,0.522149
Wikipedia (en),Perplexity,300,1b,0.5188455
Wikipedia (en),Perplexity,400,1b,0.517228
Wikipedia (en),Perplexity,500,1b,0.505093
Wikipedia (en),Perplexity,600,1b,0.5033035
Wikipedia (en),Perplexity,700,1b,0.5077020000000001
Wikipedia (en),Perplexity,800,1b,0.5275285
